block_xy1,block_xy2,block_xy3,block_xy4,block_z1,block_z2,block_z3,block_z4,XYskew,phi_XYskew,mm_m_XYskew,XZskew,phi_XZskew,mm_m_XZskew,YZskew,phi_YZskew,mm_m_YZskew,rotx,mm_m_rotx,roty,mm_m_roty,rotz,mm_m_rotz
89.95419,89.86363,90.18792,89.99389,90.22440,90.00903,90.10850,90.05630,-0.00408,90.23372,-4.07913,0.00003,89.99828,0.02994,0.00090,89.94866,0.89601,0.00012,0.00213,-0.01618,-0.28240,-0.15166,-2.64688
89.96345,89.86338,90.18267,89.99034,90.23223,89.96133,90.09228,90.08607,-0.00398,90.22779,-3.97570,0.00021,89.98792,0.21091,0.00100,89.94295,0.99573,-0.00897,-0.15660,-0.00943,-0.16465,-0.17164,-2.99568
89.96472,89.87119,90.17939,89.98457,90.25009,89.99604,90.07494,90.06261,-0.00407,90.23301,-4.06680,0.00008,89.99549,0.07880,0.00086,89.95086,0.85764,-0.01592,-0.27778,-0.01640,-0.28631,-0.14371,-2.50830
89.95804,89.85789,90.19115,89.99278,90.23995,89.98686,90.10474,90.08858,-0.00393,90.22519,-3.93037,0.00043,89.97531,0.43099,0.00099,89.94345,0.98692,-0.00848,-0.14806,-0.00745,-0.13006,-0.16745,-2.92259
89.95430,89.86159,90.18687,89.99711,90.23768,89.98897,90.11089,90.08637,-0.00398,90.22808,-3.98067,0.00039,89.97742,0.39405,0.00105,89.93968,1.05283,-0.01194,-0.20835,-0.00893,-0.15591,-0.20477,-3.57392
89.96000,89.85690,90.19150,89.99146,90.23927,89.99831,90.10589,90.08383,-0.00401,90.22994,-4.01328,0.00032,89.98155,0.32206,0.00085,89.95155,0.84553,-0.00846,-0.14767,-0.00693,-0.12101,-0.22811,-3.98123
89.96370,89.86560,90.17946,89.99108,90.24317,89.99355,90.09361,90.07569,-0.00412,90.23602,-4.11935,-0.00004,90.00220,-0.03848,0.00090,89.94857,0.89766,-0.01173,-0.20468,-0.01165,-0.20337,-0.22141,-3.86436
89.96460,89.87467,90.17688,89.98370,90.22932,89.99473,90.08564,90.08236,-0.00411,90.23569,-4.11361,0.00020,89.98850,0.20072,0.00095,89.94576,0.94674,-0.01120,-0.19545,-0.01166,-0.20352,-0.20343,-3.55050
89.96083,89.88045,90.16902,89.98957,90.24377,89.97778,90.10484,90.07250,-0.00396,90.22698,-3.96150,0.00020,89.98826,0.20496,0.00097,89.94463,0.96646,-0.00676,-0.11791,-0.00918,-0.16027,-0.23266,-4.06072
89.95478,89.88402,90.16121,89.99984,90.23649,89.99777,90.11938,90.07545,-0.00406,90.23282,-4.06346,0.00028,89.98395,0.28021,0.00101,89.94208,1.01091,-0.00882,-0.15397,-0.19342,-3.37577,-0.15568,-2.71708
